# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         1   -2.3734095228e+04    1.1570305470e+03    2.2943309125e+05    2.2937600000e+05    0.0000000000e+00   -2.3733268476e+04    9.9800587810e-01    9.8655918666e-01
         2   -2.3734435210e+04    1.1594279767e+03    2.2941386654e+05    2.2932000000e+05    1.5856933594e-01   -2.3733851057e+04    9.9801104116e-01    9.8792953079e-01
         3   -2.3734666339e+04    1.1576339642e+03    2.2940410983e+05    2.2942800000e+05    1.5002441406e-01   -2.3734661886e+04    9.9801746099e-01    9.8837107938e-01
         4   -2.3734966975e+04    1.1591796527e+03    2.2941002745e+05    2.2958900000e+05    1.4874267578e-01   -2.3735594514e+04    9.9802030556e-01    9.8715095235e-01
         5   -2.3735242179e+04    1.1460648123e+03    2.2940796745e+05    2.2932400000e+05    1.5374755859e-01   -2.3734740247e+04    9.9802306832e-01    9.8801695418e-01
         6   -2.3735472910e+04    1.1504112857e+03    2.2940242899e+05    2.2940100000e+05    1.4605712891e-01   -2.3735351164e+04    9.9802659261e-01    9.8816918845e-01
         7   -2.3735623527e+04    1.1626571758e+03    2.2939258067e+05    2.2948300000e+05    1.4685058594e-01   -2.3735939284e+04    9.9803069008e-01    9.8750669984e-01
         8   -2.3735884226e+04    1.1355384893e+03    2.2940560078e+05    2.2925600000e+05    1.4898681641e-01   -2.3735100232e+04    9.9803412582e-01    9.8828383990e-01
         9   -2.3736099506e+04    1.1343796583e+03    2.2940071537e+05    2.2940500000e+05    1.4855957031e-01   -2.3736010648e+04    9.9803766567e-01    9.8793400318e-01
        10   -2.3736388174e+04    1.1396816005e+03    2.2940722265e+05    2.2935700000e+05    1.4587402344e-01   -2.3736016669e+04    9.9804025173e-01    9.8770039720e-01
        11   -2.3736612052e+04    1.1260565877e+03    2.2940196766e+05    2.2924900000e+05    1.4733886719e-01   -2.3735834344e+04    9.9804285528e-01    9.8822241318e-01
        12   -2.3736794992e+04    1.1320506464e+03    2.2939679922e+05    2.2930400000e+05    1.4508056641e-01   -2.3736298108e+04    9.9804543569e-01    9.8807696333e-01
        13   -2.3737035959e+04    1.1346076311e+03    2.2940287113e+05    2.2939100000e+05    1.4813232422e-01   -2.3736860385e+04    9.9804781133e-01    9.8828201630e-01
        14   -2.3737307736e+04    1.1278112558e+03    2.2940638529e+05    2.2944500000e+05    1.4270019531e-01   -2.3737336730e+04    9.9805021342e-01    9.8749591405e-01
        15   -2.3737608776e+04    1.1334119713e+03    2.2940954388e+05    2.2926000000e+05    1.5032958984e-01   -2.3736801889e+04    9.9805223503e-01    9.8839309081e-01
        16   -2.3737750489e+04    1.1308480916e+03    2.2938978850e+05    2.2940800000e+05    1.4666748047e-01   -2.3737748275e+04    9.9805392007e-01    9.8753312875e-01
        17   -2.3737852025e+04    1.1301965997e+03    2.2938974778e+05    2.2932600000e+05    1.5191650391e-01   -2.3737532482e+04    9.9805557099e-01    9.8811299199e-01
        18   -2.3738083611e+04    1.1303111119e+03    2.2940096340e+05    2.2936400000e+05    1.4538574219e-01   -2.3737799708e+04    9.9805711471e-01    9.8823703807e-01
        19   -2.3738259163e+04    1.1242444446e+03    2.2939597599e+05    2.2941800000e+05    1.4495849609e-01   -2.3738266700e+04    9.9805856504e-01    9.8799135203e-01
        20   -2.3738468475e+04    1.1286208445e+03    2.2939995757e+05    2.2941800000e+05    1.4398193359e-01   -2.3738442252e+04    9.9806002407e-01    9.8792161034e-01
        21   -2.3738634650e+04    1.1195103385e+03    2.2939541299e+05    2.2939800000e+05    1.4416503906e-01   -2.3738564382e+04    9.9806151324e-01    9.8776362479e-01
        22   -2.3738928550e+04    1.1194871352e+03    2.2941220712e+05    2.2937300000e+05    1.4636230469e-01   -2.3738621571e+04    9.9806276365e-01    9.8818518309e-01
        23   -2.3739137311e+04    1.1311346278e+03    2.2939983627e+05    2.2939900000e+05    1.4318847656e-01   -2.3739028817e+04    9.9806401170e-01    9.8754135807e-01
        24   -2.3739188711e+04    1.1198084234e+03    2.2938265845e+05    2.2924400000e+05    1.4843750000e-01   -2.3738561671e+04    9.9806495163e-01    9.8833121041e-01
        25   -2.3739332359e+04    1.1242059462e+03    2.2939438568e+05    2.2940500000e+05    1.4788818359e-01   -2.3739315133e+04    9.9806592066e-01    9.8797759421e-01
        26   -2.3739506376e+04    1.1191200126e+03    2.2939887369e+05    2.2948000000e+05    1.4904785156e-01   -2.3739785660e+04    9.9806675063e-01    9.8768520132e-01
        27   -2.3739776584e+04    1.1282155292e+03    2.2940901427e+05    2.2939500000e+05    1.4916992188e-01   -2.3739589206e+04    9.9806776789e-01    9.8843915517e-01
        28   -2.3739857653e+04    1.1213503540e+03    2.2938662707e+05    2.2957300000e+05    1.4892578125e-01   -2.3740635068e+04    9.9806879757e-01    9.8778602013e-01
        29   -2.3740139000e+04    1.1261198849e+03    2.2940856393e+05    2.2943000000e+05    1.4654541016e-01   -2.3740093047e+04    9.9806970191e-01    9.8796582836e-01
        30   -2.3740230785e+04    1.1231668624e+03    2.2938651920e+05    2.2936000000e+05    1.4630126953e-01   -2.3740069243e+04    9.9807061855e-01    9.8840687129e-01
        31   -2.3740241051e+04    1.1259180990e+03    2.2937550882e+05    2.2943100000e+05    1.4410400391e-01   -2.3740470538e+04    9.9807150975e-01    9.8800946690e-01
        32   -2.3740565935e+04    1.1189818998e+03    2.2941460928e+05    2.2941100000e+05    1.4398193359e-01   -2.3740393628e+04    9.9807230966e-01    9.8772944628e-01
