# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         1   -2.3733975187e+04    1.1629256016e+03    5.7344120023e+04    5.7344000000e+04    0.0000000000e+00   -2.3733392247e+04    9.9800378478e-01    9.8606654576e-01
         2   -2.3734512835e+04    1.1525563251e+03    5.7360236253e+04    5.7316000000e+04    1.6406250000e-01   -2.3733486786e+04    9.9800934369e-01    9.8820573662e-01
         3   -2.3734620964e+04    1.1647517469e+03    5.7347340367e+04    5.7396000000e+04    1.5820312500e-01   -2.3735419232e+04    9.9801451174e-01    9.8808279323e-01
         4   -2.3734780003e+04    1.1527937640e+03    5.7348378124e+04    5.7384000000e+04    1.4697265625e-01   -2.3735318265e+04    9.9801853976e-01    9.8682559598e-01
         5   -2.3735237099e+04    1.1449622278e+03    5.7357621940e+04    5.7309000000e+04    1.5332031250e-01   -2.3734169465e+04    9.9802238640e-01    9.8818684674e-01
         6   -2.3735707731e+04    1.1573656852e+03    5.7357617721e+04    5.7357000000e+04    1.4892578125e-01   -2.3735463775e+04    9.9802733872e-01    9.8805725544e-01
         7   -2.3735845516e+04    1.1333509476e+03    5.7349127857e+04    5.7391000000e+04    1.4965820312e-01   -2.3736527010e+04    9.9803165943e-01    9.8783781429e-01
         8   -2.3735878589e+04    1.1301834552e+03    5.7344525048e+04    5.7327000000e+04    1.5039062500e-01   -2.3735549016e+04    9.9803433480e-01    9.8869642577e-01
         9   -2.3736227693e+04    1.1271803852e+03    5.7352923359e+04    5.7351000000e+04    1.4038085938e-01   -2.3736000652e+04    9.9803777146e-01    9.8755034786e-01
        10   -2.3736493449e+04    1.1230831273e+03    5.7351571950e+04    5.7325000000e+04    1.4746093750e-01   -2.3735896304e+04    9.9804079810e-01    9.8831225469e-01
        11   -2.3736712850e+04    1.1147518631e+03    5.7350851323e+04    5.7356000000e+04    1.4331054688e-01   -2.3736702690e+04    9.9804354450e-01    9.8802217728e-01
        12   -2.3737030969e+04    1.1304598933e+03    5.7353403347e+04    5.7357000000e+04    1.4672851562e-01   -2.3736939526e+04    9.9804663844e-01    9.8720295692e-01
        13   -2.3737096804e+04    1.1334759900e+03    5.7345880205e+04    5.7314000000e+04    1.4892578125e-01   -2.3736507673e+04    9.9804872184e-01    9.8836235475e-01
        14   -2.3737272872e+04    1.1082435391e+03    5.7347793169e+04    5.7284000000e+04    1.4282226562e-01   -2.3736049939e+04    9.9805069493e-01    9.8811186370e-01
        15   -2.3737714922e+04    1.1270389205e+03    5.7356708997e+04    5.7296000000e+04    1.4428710938e-01   -2.3736435468e+04    9.9805305579e-01    9.8785255515e-01
        16   -2.3737848859e+04    1.1300270101e+03    5.7349836917e+04    5.7337000000e+04    1.5185546875e-01   -2.3737592844e+04    9.9805460751e-01    9.8817517484e-01
        17   -2.3738024492e+04    1.1230861803e+03    5.7349276099e+04    5.7385000000e+04    1.5258789062e-01   -2.3738563587e+04    9.9805585964e-01    9.8761000261e-01
        18   -2.3738131245e+04    1.1306872792e+03    5.7346715073e+04    5.7329000000e+04    1.5307617188e-01   -2.3737762878e+04    9.9805779872e-01    9.8840028607e-01
        19   -2.3738247204e+04    1.1239290630e+03    5.7346736719e+04    5.7345000000e+04    1.4257812500e-01   -2.3738148683e+04    9.9805917896e-01    9.8786293487e-01
        20   -2.3738431538e+04    1.1308227402e+03    5.7348576474e+04    5.7331000000e+04    1.4233398438e-01   -2.3738020476e+04    9.9806084644e-01    9.8845301844e-01
        21   -2.3738562448e+04    1.1110608164e+03    5.7348228550e+04    5.7397000000e+04    1.5014648438e-01   -2.3739355358e+04    9.9806223275e-01    9.8752548043e-01
        22   -2.3738911063e+04    1.1184532664e+03    5.7354229116e+04    5.7343000000e+04    1.4916992188e-01   -2.3738545009e+04    9.9806355116e-01    9.8826360672e-01
        23   -2.3739067195e+04    1.1352782142e+03    5.7347589236e+04    5.7338000000e+04    1.4477539062e-01   -2.3738806426e+04    9.9806466130e-01    9.8763472741e-01
        24   -2.3739180649e+04    1.1176278542e+03    5.7346767150e+04    5.7287000000e+04    1.4746093750e-01   -2.3738072700e+04    9.9806534984e-01    9.8800775045e-01
        25   -2.3739347605e+04    1.1042879460e+03    5.7349425115e+04    5.7294000000e+04    1.4624023438e-01   -2.3738308338e+04    9.9806649618e-01    9.8834083848e-01
        26   -2.3739539658e+04    1.1245147880e+03    5.7350088156e+04    5.7383000000e+04    1.5551757812e-01   -2.3740027480e+04    9.9806751351e-01    9.8813237370e-01
        27   -2.3739600542e+04    1.1238707574e+03    5.7345811572e+04    5.7373000000e+04    1.4599609375e-01   -2.3740045250e+04    9.9806835817e-01    9.8774684956e-01
        28   -2.3739783598e+04    1.1234823505e+03    5.7349790229e+04    5.7332000000e+04    1.4501953125e-01   -2.3739391256e+04    9.9806904246e-01    9.8833112398e-01
        29   -2.3739950646e+04    1.1325319185e+03    5.7348523355e+04    5.7343000000e+04    1.4355468750e-01   -2.3739766160e+04    9.9806968258e-01    9.8843799592e-01
        30   -2.3740141260e+04    1.1188791444e+03    5.7349686888e+04    5.7384000000e+04    1.5014648438e-01   -2.3740647947e+04    9.9807068729e-01    9.8724383103e-01
        31   -2.3740334294e+04    1.1070292668e+03    5.7351535758e+04    5.7346000000e+04    1.5087890625e-01   -2.3740176137e+04    9.9807131946e-01    9.8782827050e-01
        32   -2.3740389569e+04    1.1193123500e+03    5.7346907439e+04    5.7390000000e+04    1.5332031250e-01   -2.3741136149e+04    9.9807218503e-01    9.8738456177e-01
